Tiernamen Datenbank,,
Tiernamen Latein,Tiername Deutsch,Tiername Russisch
Boselaphus tragocamelus ,Nilgauantilope,Нильгау
Alces a. alces ,Nordelch,Олен
Potamochoerus porcus ,Pinselohrschwein ,Кистеухая свинья
Tragelaphus angasii ,Tieflandnyala,Ньяла
Camelus ferus bactrianus ,Trampeltier,Верблюд
Vicugna vicugna ,Vikunja,Викунья
Sus cebifrons negrinus ,Visayas-Pustelschwein ,Висайская бородавчатая свинья
Bison bison athabascae ,Waldbison,Лесной бизон
Capra hircus ,Westafrikanische Zwergziege ,Западно-африканская карликовая коза
,Vögel,
Rhea pennata ,Darwin-Nandu ,Дарвинов нанду
Dromaius novaehollandiae ,Emu ,Эму
Struthio camelus australis ,Südafrikanischer Strauß ,Африканского страуса 
Spheniscus humboldti ,Humboldtpinguin,Пингвин Гумбольдта
Aptenodytes patagonicus ,Königspinguin ,Королевский пингвин
Eudyptes moseleyi ,NördlicherFelsenpinguin ,Северный хохлатый пингвин
Phalacrocorax carbo ,Kormoran ,Большой баклан
Plegadis falcinellus ,Brauner Sichler,Каравайка
Pelecanus onocratalus ,Rosapelikan,Розовый пеликан
Eudocimus ruber ,Roter Sichler,Красный ибис
Threskiornis spinicollis ,Strohhalsibis,Австралийский ибис
Geronticus eremita,Waldrapp,Лесной ибис
Ciconia nigra ,Schwarzstorch ,Чёрный аист
Ciconia ciconia ,Weißstorch ,Белый аист
Leucophaeus modestus ,Graumöwe ,Серая чайка
Larus argentatus ,Silbermöwe ,Серебристая чайка
Phoenicopterus roseus ,Rosa Flamingo ,Розовый фламинго
Anas bahamensis,Bahamaente,Белощёкая шилохвость
Sibirionetta formosa ,Baikalente ,Чирок-клоктун
Anser anser dom. ,Bayerische Landgans ,Серый гусь
Tadorna tador,Brandgans,Пеганка
Aix sponsa ,Brautente ,Каролинская утка
Anas georgica spinicauda ,Chile-Spitzschwanzente ,Желтоклювая шилохвость
Mareca penelope ,Europäische Pfeifente ,Свиязь
Dendrocygna autumnalis ,Herbstpfeifgans ,Чернобрюхая свистящая утка
Lophodytes cucullatus ,Kappensäger ,Хохлатый крохаль
Netta rufina ,Kolbenente,Красноносый нырок
Anas laysanensis ,Laysanente,Лайсанская кряква
Spatula clypeata ,Löffelente,Широконоска
Chenonetta jubata ,Mähnenente ,Гривистая утка
Marmaronetta angustirostris ,Marmelente,Мраморный чирок
Aythya nyroca ,Moorente,Белоглазый нырок
Branta ruficollis ,Rothalsgans ,Краснозобая казарка
Callonetta leucophrys ,Rotschulterente ,Кольчатый чирок
Bucephala clangula ,Schellente ,Обыкновенный гоголь
Oxyura jamaicensis ,Schwarzkopf-Ruderente ,Американская савка
Mareca falcata ,Sichelente ,Косатка 
Dendrocygna eytoni ,Sichelpfeifgans ,Розовоногая древесная утка
Anas acuta ,Spießente ,Шилохвость
Anser anser dom. ,SteinbacherKampfgans ,Серый гусь ?
Aythya affinis ,Veilchenente ,Американская морская чернеть
Dendrocygna viduata ,Witwenpfeifgans ,Белолицая свистящая утка
Spatula cyanoptera ,Zimtente ,Коричневый чирок
Mergellus albellus ,Zwergsäger ,Луток
Alectoris graeca,Alpensteinhuhn,Европейский кеклик
Gallus gallus,Appenzeller Spitzhaube,Банкивская джунглевая курица
Perdix perdix,Rebhuhn,Серая куропатка
Lophura nycthemera,Silberfasan,Серебряная лофура
Rollus rouloul,Straußwachtel,Венценосная куропатка
Tragopan temminckii,Temmincktragopan,Глазчатый трагопан
Anthropoiden virgo,Jungfernkranich,Журавль-красавка
Anthropoides paradisea ,Paradieskranich ,Африканская красавка
Bubo bubo,Europäischer Uhu,Филин
Aegolius funerus,Raufußkauz,Мохноногий сыч
Tyto alba,Schleiereule,Обыкновенная сипуха
Bubo scandiacus,Schneeeule,Белая сова
Athene noctua,Steinkauz,Домовый сыч
Bubo bubo sibiricua,Sibirischer Uhu,Филин сибирски 
Parabuteo unicinctus harrisi ,Harris-Wüstenbussard ,Пустынный канюк
Aquila chrysaetos daphanea ,Zentralasiatischer Steinadler ,Беркут
Bucorvus abyssinicus ,NördlicherHornrabe ,Абиссинский рогатый ворон
Falco cherrug ,Sakerfalke ,Балобан
Falco tinnunculus ,Turmfalke,Обыкновенная пустельга
Psittacula derbiana ,Chinasittich ,Китайский кольчатый попугай
Ara ararauna ,Gelbbrustara ,Сине-жёлтый ара
Coracopsis vasa vasa ,Östlicher Großer Vasapapagei,Вара попугай 
Urocissa erythrorhyncha ,Rotschnabelkitta ,Красноклювая лазоревая сорока
,Kriechtiere,
Testudo kleinmanni ,Ägyptische Landschildkröte ,Египетская черепаха
Geochelone gigantea ,Aldabra-Riesenschildkröte ,Гигантская черепаха
Emys orbicularis ,Europäische Sumpfschildkröte ,Европейская болотная черепаха
Trachemys scripta scripta ,Gelbwangen- Schmuckschildkröte ,Красноухая черепаха
Astrochelys radiata,Madagaskar- Strahlenschildkröte ,Лучистая черепаха
Trachemys scripta elegans,Rotwangen-Schmuckschildkröte,Красноухая пресноводная черепаха
Uromastyx aegyptia,Ägyptische Dornschwanzagame ,Дабб
Hemidactylus brookii,Afrikanischer Hausgecko ,Полупалый геккон
Anolis sagrei,Bahama-Anolis,Коричневый анолис
Amphibolurus vitticeps ,Bartagame ,Погона
Tiliqua scincoides ,Blauzungenskink,Обыкновенная исполинская ящерица
Anolis roquet summus ,Gefleckter Martinique-Anolis ,Анолис
Chalcides ocellatus ,Gefleckter Walzenskink ,Глазчатый халцид
Lygodactylus picturatus ,Gelbkopf-Zwerggecko ,Южноафриканский карликовый геккон
Gastropholis prasina ,"Grüne Baumeidechse 
",Гастрофолис
Iguana iguana ,Grüner Leguan ,Обыкновенная игуана
Lepidodacty luslugubris ,Jungferngecko ,Желтоголовый карликовый геккон
Phelsuma madagascariensis ,Madagaskar-Taggecko ,Мадагаскарский дневной геккон
Furcifer pardalis ,Pantherchamäleon ,Пантерный хамелеон 
Osteolaemus tetraspis ,Stumpfkrokodil ,Тупорылый крокодил
Broadleysaurus major ,Sudan-Schildechse ,Геррозавр
Corucia zebrata ,Wickelschwanzskink ,Гигантский цепкохвостый сцинк
Lacerta agilis ,Zauneidechse ,Прыткая ящерица
,Schlangen,
Boa constrictor ,Abgottschlange ,Обыкновенный удав
Bitis rhinoceros ,Gabunviper ,Африканские гадюки
Eunectes murinus ,Grüne Anakonda ,Анаконда
Chondropython viridis ,Grüner Baumpython ,Зелёный питон
Python regius ,Königspython,Королевский питон
Vipera berus ,Kreuzotter,Обыкновенная гадюка
Agkistrodon contortrix ,Kupferkopf ,Медноголовый щитомордник
Philodryas baroni ,Langnasen-Strauchnatter ,Длинноносый филодриас
Malayopython reticulatus ,Netzpython ,Сетчатый питон
Lampropeltis triangulum campbelli ,"Puebla-Dreiecksnatter 
",Лампропельтис уж
Natrix natrix ,Ringelnatter ,Обыкновенный уж
Aspidelaps lubricus ,Südafrikanische Korallenschlange ,Южноафриканская щитковая кобра
Agkistrodon taylori ,TaylorsMokassin-Otter ,Агкистродон/выдра
Crotalus vegrandis ,Uracoan-Klapperschlange ,Настоящие гремучники
Naja melanoleuca ,Weißlippenkobra ,Чёрно-белая кобра
,Amphibien,
Eleutherodactylus johnstonei,"Antillen-Pfeiffrosch 
",Листовые лягушки
Phrynohyas resinifictrix,Baumhöhlenkrötenlaubfrosch ,Квакши/древесные лягушки
Epipedobates tricolor,Dreistreifen-Baumsteiger ,Франтоватый древолаз
Bufo bufo ,Erdkröte ,Обыкновенная жаба
Bombina variegata,Gelbbauchunke,Желтобрюхая жерлянка
Dendrobates leucomelas,Gelbbindenbaumsteiger,Священный древолаз
Litoria caerulea,Korallenfinger-Laubfrosch,Коралловопалая литория
Bufo viridis,Wechselkröte,Зелёная жаба
Mesotriton alpestris,Bergmolch ,Альпийский тритон
Salamandra salamandra,Feuersalamander ,Огненная саламандра
Ambystoma dumerlilii,Pátzcuaro-Querzahnmolch ,Амбистомовые
